ID;NumberZ;Shifr;Napr;Prof;Uroven;FormaOb;Fin;Zach;Sogl
169F8A66-1240-4D0A-BFBD-6B9EAFE17B08;1907;27.00.04;Управление в технических системах;;Бакалавриат;Очная форма;Бюджетные места;0;0
AEA7F77E-E4E0-46A0-BA5B-208746189830;503;44.00.03;Специальное (дефектологическое) образование;Психолого-педагогическое сопровождение лиц с ограниченными возможностями здоровья;Магистратура;Заочная форма;С оплатой обучения;0;0
9829FDCC-4B7F-48D2-BDFF-896861E496C7;883;45.00.02;Лингвистика;;Бакалавриат;Очно-заочная (вечерняя);С оплатой обучения;0;0
CC79B7DF-E187-4D8B-B6A1-F18F3A991565;2649;40.00.01;Юриспруденция;;Бакалавриат;Заочная форма;С оплатой обучения;0;0
AEA7F77E-E4E0-46A0-BA5B-208746189830;503;44.00.03;Специальное (дефектологическое) образование;Психолого-педагогическое сопровождение лиц с ограниченными возможностями здоровья;Магистратура;Заочная форма;Бюджетные места;1;1
CC79B7DF-E187-4D8B-B6A1-F18F3A991565;2649;38.00.04;Государственное и муниципальное управление;;Бакалавриат;Заочная форма;С оплатой обучения;1;1
9829FDCC-4B7F-48D2-BDFF-896861E496C7;883;44.00.05;Педагогическое образование (с двумя профилями подготовки);Иностранные языки;Бакалавриат;Очная форма;Целевой прием;0;0
9829FDCC-4B7F-48D2-BDFF-896861E496C7;883;44.00.05;Педагогическое образование (с двумя профилями подготовки);Иностранные языки;Бакалавриат;Очная форма;Бюджетные места;0;0
AEA7F77E-E4E0-46A0-BA5B-208746189830;503;44.00.03;Специальное (дефектологическое) образование;Психолого-педагогическое сопровождение лиц с ограниченными возможностями здоровья;Магистратура;Очная форма;Бюджетные места;0;0
9829FDCC-4B7F-48D2-BDFF-896861E496C7;883;44.00.05;Педагогическое образование (с двумя профилями подготовки);Иностранные языки;Бакалавриат;Очная форма;С оплатой обучения;1;1
5DEF7244-A339-49D5-A296-A9D9CDD2B297;766;38.00.02;Менеджмент;;Магистратура;Очно-заочная (вечерняя);С оплатой обучения;0;0
599E5740-D69B-449C-8F7E-DEEBDA38CFE7;2257;46.00.01;История;;Магистратура;Заочная форма;Бюджетные места;1;1
5DEF7244-A339-49D5-A296-A9D9CDD2B297;766;38.00.02;Менеджмент;;Магистратура;Очно-заочная (вечерняя);Бюджетные места;1;1
99CDA8E8-53F5-4ACE-8BB6-7325CE6654A8;1632;44.00.02;Психолого-педагогическое образование;Психология образования;Бакалавриат;Заочная форма;Бюджетные места;0;0
09E225DA-9AD4-4B1B-8DC2-35BDD49507FD;3205;40.00.01;Юриспруденция;;Магистратура;Очная форма;С оплатой обучения;0;0
9150BC49-EF97-4341-A4B4-985C9CBAEC55;1065;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Очная форма;Бюджетные места;1;1
9150BC49-EF97-4341-A4B4-985C9CBAEC55;1065;42.00.02;Журналистика;;Бакалавриат;Очная форма;Бюджетные места;0;0
09E225DA-9AD4-4B1B-8DC2-35BDD49507FD;3205;40.00.01;Юриспруденция;;Магистратура;Очная форма;Бюджетные места;0;0
F0FCC7B1-7557-4325-A985-31C116FF356B;92;40.00.01;Юриспруденция;;Бакалавриат;Заочная форма;С оплатой обучения;1;1
EEBB8E36-09F2-4B17-864F-33179C2DE808;2641;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Очная форма;С оплатой обучения;0;0
D6D30388-A127-4A1D-B75B-F628597F2D43;2508;38.00.04;Государственное и муниципальное управление;;Бакалавриат;Очная форма;С оплатой обучения;0;0
EEBB8E36-09F2-4B17-864F-33179C2DE808;2641;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Заочная форма;Бюджетные места;0;0
D6D30388-A127-4A1D-B75B-F628597F2D43;2508;06.00.01;Биология;;Бакалавриат;Очная форма;Бюджетные места;0;0
D6D30388-A127-4A1D-B75B-F628597F2D43;2508;06.00.01;Биология;;Бакалавриат;Очная форма;С оплатой обучения;0;0
D6D30388-A127-4A1D-B75B-F628597F2D43;2508;44.00.03;Специальное (дефектологическое) образование;Специальная психология: сопровождение образования лиц с особыми потребностями;Бакалавриат;Очная форма;Бюджетные места;0;0
495DFC34-62F6-44D3-8B5B-3B961272A133;676;29.00.05;Конструирование изделий легкой промышленности;;Бакалавриат;Очная форма;Целевой прием;0;0
495DFC34-62F6-44D3-8B5B-3B961272A133;676;29.00.02;Технологии и проектирование текстильных изделий;;Бакалавриат;Очная форма;Бюджетные места;0;0
EEBB8E36-09F2-4B17-864F-33179C2DE808;2641;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Очная форма;Бюджетные места;0;0
EEBB8E36-09F2-4B17-864F-33179C2DE808;2641;38.00.01;Экономика;;Бакалавриат;Заочная форма;С оплатой обучения;1;1
D6D30388-A127-4A1D-B75B-F628597F2D43;2508;44.00.03;Специальное (дефектологическое) образование;Специальная психология: сопровождение образования лиц с особыми потребностями;Бакалавриат;Очная форма;С оплатой обучения;0;0
EEBB8E36-09F2-4B17-864F-33179C2DE808;2641;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Заочная форма;С оплатой обучения;0;0
495DFC34-62F6-44D3-8B5B-3B961272A133;676;29.00.05;Конструирование изделий легкой промышленности;;Бакалавриат;Очная форма;Бюджетные места;1;1
495DFC34-62F6-44D3-8B5B-3B961272A133;676;29.00.04;Технология художественной обработки материалов;;Бакалавриат;Очная форма;Бюджетные места;0;0
EEBB8E36-09F2-4B17-864F-33179C2DE808;2641;45.00.01;Филология;;Бакалавриат;Очная форма;С оплатой обучения;0;0
3715F34C-DDC4-4725-94E8-571777904A3E;1408;54.00.03;Искусство костюма и текстиля;;Бакалавриат;Очная форма;Квота приема лиц, имеющих особое право;1;1
74423ED8-F919-4FE9-82FF-F790D96B68A5;705;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Очная форма;Целевой прием;0;0
74423ED8-F919-4FE9-82FF-F790D96B68A5;705;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Очная форма;С оплатой обучения;1;1
74423ED8-F919-4FE9-82FF-F790D96B68A5;705;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Очная форма;Бюджетные места;0;0
04D791F4-649C-435A-AEE4-1878E223EF3F;1042;44.00.01;Педагогическое образование;Математика;Бакалавриат;Очная форма;Бюджетные места;0;0
04D791F4-649C-435A-AEE4-1878E223EF3F;1042;44.00.05;Педагогическое образование (с двумя профилями подготовки);Начальное образование и организатор детского движения;Бакалавриат;Очная форма;Целевой прием;0;1
04A928FE-BDBF-42C1-BA92-CF49D84AA3FB;679;46.00.01;История;;Бакалавриат;Очная форма;Бюджетные места;0;0
04A928FE-BDBF-42C1-BA92-CF49D84AA3FB;679;44.00.05;Педагогическое образование (с двумя профилями подготовки);История и обществознание;Бакалавриат;Заочная форма;Бюджетные места;1;1
04D791F4-649C-435A-AEE4-1878E223EF3F;1042;44.00.05;Педагогическое образование (с двумя профилями подготовки);Начальное образование и организатор детского движения;Бакалавриат;Очная форма;Бюджетные места;0;0
04A928FE-BDBF-42C1-BA92-CF49D84AA3FB;679;40.00.01;Юриспруденция;;Бакалавриат;Очная форма;Бюджетные места;0;0
88DA6808-A7B5-4241-9BC9-46E955784784;2122;44.00.05;Педагогическое образование (с двумя профилями подготовки);Технология и информатика;Бакалавриат;Заочная форма;Бюджетные места;0;0
88DA6808-A7B5-4241-9BC9-46E955784784;2122;38.00.04;Государственное и муниципальное управление;;Бакалавриат;Очная форма;С оплатой обучения;0;0
88DA6808-A7B5-4241-9BC9-46E955784784;2122;38.00.04;Государственное и муниципальное управление;;Бакалавриат;Заочная форма;С оплатой обучения;0;0
88DA6808-A7B5-4241-9BC9-46E955784784;2122;44.00.05;Педагогическое образование (с двумя профилями подготовки);Начальное образование и информатика;Бакалавриат;Заочная форма;Бюджетные места;1;1
88DA6808-A7B5-4241-9BC9-46E955784784;2122;44.00.05;Педагогическое образование (с двумя профилями подготовки);Технология и информатика;Бакалавриат;Заочная форма;С оплатой обучения;0;0
FE707B58-63D6-47CC-9DB9-9E23BF27FADA;1732;04.00.01;Химия;;Бакалавриат;Очная форма;Бюджетные места;0;0
FE707B58-63D6-47CC-9DB9-9E23BF27FADA;1732;06.00.01;Биология;;Бакалавриат;Очная форма;Бюджетные места;0;0
FE707B58-63D6-47CC-9DB9-9E23BF27FADA;1732;19.00.04;Технология продукции и организация общественного питания;;Бакалавриат;Очная форма;Бюджетные места;0;0
65C1BD3F-B0AD-4AAB-8F4F-AD5FC64527BB;677;38.00.01;Экономика;;Магистратура;Заочная форма;С оплатой обучения;1;1
F2987375-2AC2-4969-B7A1-11102F304A91;1328;38.00.04;Государственное и муниципальное управление;;Бакалавриат;Очная форма;С оплатой обучения;0;0
F2987375-2AC2-4969-B7A1-11102F304A91;1328;38.00.01;Экономика;;Бакалавриат;Очная форма;С оплатой обучения;1;1
2B73F38D-F266-4552-8A1C-CC0F7898A980;1280;04.00.01;Химия;;Магистратура;Очная форма;Бюджетные места;1;1
4FC7BA12-F363-4C26-8C63-51AEA9344C03;698;38.00.05;Бизнес-информатика;;Бакалавриат;Очная форма;Бюджетные места;0;0
4FC7BA12-F363-4C26-8C63-51AEA9344C03;698;38.00.01;Экономическая безопасность;;Специалитет;Очная форма;С оплатой обучения;0;0
