X;Psi;Regions;Industries
0.0003399352259741199;0.0005941344143468879;Shanxi;NonMeM
0.0006316899557931777;0.0010071622350327158;Shanxi;Food
0.00030263451000180156;0.00047736691175678255;Shanxi;Tex
0.00016352960783631195;0.00036540941903763735;Shanxi;Cloth
0.00015371499903838042;0.0002922097314794086;Shanxi;Wood
0.00047565563022900306;0.0007346260327024977;Shanxi;Paper
0.0030489836445620143;0.014469803212825443;Shanxi;Fuel
0.003970973804814493;0.0056106679546481355;Shanxi;Chemi
0.0034015530187814233;0.0030487654041440994;Shanxi;NonMeP
0.014929175787779917;0.021357684514240284;Shanxi;MeSme
0.0018747532538039668;0.003292265923988663;Shanxi;MetaInd
0.002072757263803348;0.003433864740063308;Shanxi;GnerSep
0.00059789308634692;0.0010046802893486112;Shanxi;TransEq
0.0005499815139155516;0.0009057807599975412;Shanxi;Electri
4.627324009747542e-05;0.0001278041439919435;Shanxi;Computers
8.295335877634945e-05;0.0002067709054827068;Shanxi;Instru
0.00010260416350173794;0.00024728007594715433;Shanxi;OtherManu
0.004625708962983588;0.011624710549075375;Shanxi;ElectriH
5.2213693616237196e-05;0.00017994745221038195;Shanxi;WaGaS
0.00033735204303231905;0.001608653967179997;Shanxi;Building
0.003785101480237062;0.006276755280547018;Shanxi;Trans 
0.002331199003611628;0.0038232645707826462;Shanxi;Wholes
0.0003288350566820151;0.0011926929917858231;Shanxi;Acconm
0.0007966851490759287;0.0013368679111142336;Shanxi;Rental
1.7098038143553553e-05;6.177692421818293e-05;Shanxi;ScienceTec
0.0024306192573786026;0.006276203012152783;Shanxi;Ohters
0.0062440059249793504;0.010810086170670603;Inter-Mongolia;Agri
0.0034001533733686636;0.010611817402961125;Inter-Mongolia;CoalM
0.0006490782366621542;0.0005546088668915351;Inter-Mongolia;OilgasM
0.003590512477058312;0.0033368357186951865;Inter-Mongolia;MetalM
0.0008955320880873913;0.002587784611873644;Inter-Mongolia;NonMeM
0.002573076487018168;0.007348574734509299;Inter-Mongolia;Food
0.000939114812007555;0.003439282469628809;Inter-Mongolia;Tex
0.00013137154240696846;0.00035737934732059325;Inter-Mongolia;Cloth
0.00045682425822067687;0.001045809619229218;Inter-Mongolia;Wood
0.0005920812088014935;0.0012123127629699564;Inter-Mongolia;Paper
0.001112897011759947;0.003009026508814897;Inter-Mongolia;Fuel
0.002453252251013194;0.007572407763213323;Inter-Mongolia;Chemi
0.0022762226831676458;0.004928420604085297;Inter-Mongolia;NonMeP
0.005704755240167755;0.021279814430306278;Inter-Mongolia;MeSme
3.703416871629165e-05;0.00014683697917435964;Inter-Mongolia;MetaInd
0.0012106156763346731;0.0020418576320390684;Inter-Mongolia;GnerSep
0.001365686131981897;0.0011300739004325808;Inter-Mongolia;TransEq
0.00023546590216485755;0.0004872125645299927;Inter-Mongolia;Electri
0.0003258991083660146;0.0006227378729078607;Inter-Mongolia;Computers
1.1678018877011078e-05;4.4835452633640265e-05;Inter-Mongolia;Instru
0.00010447203272322457;0.00024585600629646023;Inter-Mongolia;OtherManu
0.00569605393696369;0.011648739538273148;Inter-Mongolia;ElectriH
0.00012963311742109204;0.0013133269059524282;Inter-Mongolia;WaGaS
7.553534857137924e-05;0.0006253939747286283;Inter-Mongolia;Building
0.004225769756385595;0.013958498275301576;Inter-Mongolia;Trans 
0.0026876329556296506;0.006627695920950855;Inter-Mongolia;Wholes
0.0004897129846943597;0.0019290163135146066;Inter-Mongolia;Acconm
0.0011647754273840995;0.0013842657265108397;Inter-Mongolia;Rental
4.174125034153991e-05;0.00010331037349518187;Inter-Mongolia;ScienceTec
0.002145171521382271;0.006127053315994952;Inter-Mongolia;Ohters
0.009136910916003013;0.012495177765335468;Liaoning;Agri
0.00157522940736073;0.0024838155324795478;Liaoning;CoalM
0.0011096040441281737;0.0029933083207666087;Liaoning;OilgasM
0.0029324796507018396;0.002292118783017344;Liaoning;MetalM
0.00033280444714368056;0.000747089422934613;Liaoning;NonMeM
0.005269745526076069;0.007856847112740527;Liaoning;Food
0.0016705162430360558;0.0016729083352781135;Liaoning;Tex
0.0005757272451642314;0.0018674750731780682;Liaoning;Cloth
0.0011785891596165588;0.0025222660948604936;Liaoning;Wood
0.0016665938234495263;0.0030718147178952237;Liaoning;Paper
0.00786376227633798;0.036884605281392445;Liaoning;Fuel
0.008092646952964301;0.02038905083789372;Liaoning;Chemi
0.005998259947652844;0.009450865516405255;Liaoning;NonMeP
0.016125648094748087;0.026178934541906864;Liaoning;MeSme
0.00227359978393218;0.00933926736031127;Liaoning;MetaInd
0.004250386902490439;0.011778387228520785;Liaoning;GnerSep
