"ID";"Diplom";"Org";"DataV";"longitude";"latitude"
"f706bc39-615d-4d06-abfa-87ef10edfb18";"Диплом о высшем профессиональном образовании";"Костромская государственная сельскохозяйственная академия";2007;"57.733452";"41.0507389"
"20416f0c-44e4-4bc9-9dc9-5e14f6cd0273";"Диплом о высшем профессиональном образовании";"Костромской государственный университет";2017;"57.759585";"40.942468"
"7156178f-9ca4-4441-9f08-9f28f479a48f";"Аттестат о среднем (полном) общем образовании";"Муниципальное общеобразовательное учреждение гимназия муниципального района город Нерехта и Нерехтский  район Костромской области";2017;"57.4526329";"40.5722255"
"712acddf-e050-46c1-8de3-1871d29faa3c";"Аттестат о среднем (полном) общем образовании";"муниципальным общеобразовательным учреждением ""Средняя школа № 6"" г. Гаврилов-Ям Ярославской области";2017;"57.3047558";"39.8674174"
"bbb0b59f-dafd-40fc-9112-fa8723f2523d";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"06fd947c-24b3-4ed8-9b3a-76088201108d";"Диплом о высшем профессиональном образовании";"ФГБОУ ВО ""Костромской государственный университет"" г. Кострома";2017;"57.759585";"40.942468"
"1e56a1a6-988f-4913-9429-f09924587672";"Аттестат о среднем (полном) общем образовании";"Гимназия муниципального района город Нерехта и Нерехтский район";2017;"57.4526329";"40.5722255"
"69e1e497-e1a8-4184-b24b-ab217e1f66f3";"Диплом о высшем профессиональном образовании";"Образовательное учреждение профсоюзов ""Академия труда и социальных отношений""";2010;"55.675868";"37.486397"
"6b3b10a8-e8dd-434b-b799-89790c01627b";"Аттестат о среднем (полном) общем образовании";"Федеральное государственное казенное общеобразовательное учреждение ""Средняя общеобразовательная школа № 24"" Министерства обороны Российской Федерации г. Вольск - 18 Саратовской области";2017;"52.590826";"42.851989"
"e0e44428-858a-4568-b38f-1201d0c87303";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 8";2017;"57.748105";"41.007544"
"a392f4a4-1114-4b08-8a41-2ceb2a24207a";"Аттестат о среднем (полном) общем образовании";"муниципальное казённое общеобразовательное учреждение Межевская средняя общеобразовательная школа Межевского муниципального района Костромской области";2017;"58.730973";"45.018269"
